species,ab_density,ad_density,sr_propAd,sr_even,lifeform,ellenberg_light,height,wh
Acer_pseudoplatanus,400,0,0,0,Ph,4,3000,w
Achillea_millefolium,16,103,0.865546218487395,0,Ch,7,45,h
Achillea_ptarmica,125,130,0.5098039215686274,0,hc,7,60,h
Aconitum_napellus,71,0,0,0,Gn,5,100,h
Actaea_spicata,45,0,0,0,Gn,3,60,h
Adoxa_moschatellina,45,0,0,0,Gn,4,12,h
Aegopodium_podagraria,266,0,0,0,hc,6,100,h
Agrimonia_eupatoria,200,1,0.004975124378109453,0,hc,7,60,h
Agrostemma_githago,40,40,0.5,0,Th,7,100,h
Agrostis_stolonifera,56,80,0.5882352941176471,0,hc,7,45,h
Ajuga_reptans,147,17,0.10365853658536585,0,hc,5,30,h
Alliaria_petiolata,138,4,0.028169014084507043,0,hc,5,120,h
Allium_ursinum,60,0,0,0,Gn,4,45,h
Alnus_glutinosa,108,0,0,0,Ph,5,2000,w
Anemone_nemorosa,42,0,0,0,Gn,5,23,h
Angelica_sylvestris,90,0,0,0,hc,7,200,h
Anisantha_sterilis,15,36,0.7058823529411765,0,Th,7,80,h
Anthemis_arvensis,45,85,0.6538461538461539,0,Th,7,50,h
Anthemis_cotula,45,80,0.64,0,Th,7,60,h
Anthriscus_sylvestris,160,0.5,0.003115264797507788,0,hc,6,100,h
Anthyllis_vulneraria,105,155,0.5961538461538461,0,hc,8,60,h
Aquilegia_vulgaris,69,0,0,0,hc,6,100,h
Arrhenatherum_elatius,13,61,0.8243243243243243,0,hc,7,150,h
Arum_maculatum,76,45,0.371900826446281,0,Gn,4,50,h
Astragalus_glycyphyllos,108,0,0,0,hc,6,100,h
Atropa_belladonna,227,56,0.1978798586572438,0,hc,5,150,h
Ballota_nigra,274,0,0,0,hc,7,100,h
Barbarea_vulgaris,378,250,0.3980891719745223,0,hc,7,90,h
Bartsia_alpina,56,33,0.3707865168539326,0,hc,8,22,h
Bellis_perennis,94,74,0.44047619047619047,0,hc,8,8,h
Berberis_vulgaris,400,0,0,0,Ph,7,250,w
Betula_nana,77.5,0,0,0,Ph,7,100,w
Betula_pubescens,147,0,0,0,Ph,7,2000,w
Blackstonia_perfoliata,48,15,0.23809523809523808,0,Th,8,45,h
Brassica_oleracea,226,141,0.38419618528610355,0,Ph,8,130,sw
Brassica_rapa,283,118,0.2942643391521197,0,Th,7,100,h
Bromopsis_ramosa,2,42,0.9545454545454546,0,hc,4,170,h
Bryonia_dioica,194,0,0,0,Gn,7,400,h
Buxus_sempervirens,160,0,0,0,Ph,4,500,w
Calluna_vulgaris,1200,0,0,0,Ch,7,60,w
Caltha_palustris,40,0,0,0,hc,7,40,h
Calystegia_sepium,93,3,0.03125,0,Gn,7,200,h
Campanula_latifolia,235,0,0,0,hc,4,120,h
Campanula_rotundifolia,117,45,0.2777777777777778,0,hc,7,45,h
Campanula_trachelium,198,0,0,0,hc,4,90,h
Capsella_bursa-pastoris,208,191,0.47869674185463656,0,Th,7,50,h
