species,photo
Acaena anserinifolia,c3
Acaena novae-zelandiae,c3
Acer campestre,c3
Acer platanoides,c3
Acer pseudoplatanus,c3
Aceras anthropophorum,c3
Achillea millefolium,c3
Achillea ptarmica,c3
Acinos arvensis,c3
Aconitum anglicum,c3
Aconitum napellus,c3
Acorus calamus,c3
Actaea spicata,c3
Adonis annua,c3
Adoxa moschatellina,c3
Aegopodium podagraria,c3
Aethusa cynapium,c3
Agapanthus praecox,c3
Agrimonia agrimonioides,c3
Agrimonia eupatoria,c3
Agrimonia odorata,c3
Agrimonia procera,c3
Agrimonia repens,c3
Agropyron caninum,c3
Agropyron donianum,c3
Agropyron junceiforme,c3
Agropyron junceum,c3
Agropyron pungens,c3
Agropyron pycnanthum,c3
Agropyron repens,c3
Agrostemma githago,c3
Agrostis canina,c3
Agrostis canina subsp. montana,c3
Agrostis capillaris,c3
Agrostis castellana,c3
Agrostis curtisii,c3
Agrostis gigantea,c3
Agrostis setacea,c3
Agrostis stolonifera,c3
Agrostis tenuis,c3
Agrostis vinealis,c3
Ailanthus altissima,c3
Aira armoricana,c3
Aira caryophyllea,c3
Aira multiculmis,c3
Aira praecox,c3
Ajuga chamaepitys,c3
Ajuga pyramidalis,c3
Ajuga reptans,c3
Alchemilla acutiloba,c3
Alchemilla alpina,c3
Alchemilla arvensis,c3
Alchemilla filicaulis,c3
Alchemilla glabra,c3
Alchemilla glaucescens,c3
Alchemilla glomerulans,c3
Alchemilla gracilis,c3
Alchemilla minima,c3
Alchemilla minor,c3
Alchemilla mirocarpa,c3
Alchemilla monticola,c3
Alchemilla obtusa,c3
Alchemilla subcrenata,c3
Alchemilla vestita,c3
Alchemilla wichurae,c3
Alchemilla xanthochlora,c3
Alisma gramineum,c3
Alisma lanceolatum,c3
Alisma plantago-aquatica,c3
Alliaria petiolata,c3
Allium carinatum,c3
Allium neapolitanum,c3
Allium oleraceum,c3
Allium roseum,c3
Allium schoenoprasum,c3
Allium scorodoprasum,c3
Allium sphaerocephalon,c3
Allium triquetrum,c3
Allium ursinum,c3
Allium vineale,c3
Alnus glutinosa,c3
Alopecurus aequalis,c3
Alopecurus alpinus,c3
Alopecurus borealis,c3
Alopecurus bulbosus,c3
Alopecurus geniculatus,c3
Alopecurus magellanicus,c3
Alopecurus myosuroides,c3
Alopecurus pratensis,c3
Althaea officinalis,c3
Alyssum alyssoides,c3
Ambrosia artemisiifolia,c3
Amelanchier canadensis,c3
Amelanchier confusa,c3
Amelanchier grandiflora,c3
Amelanchier intermedia,c3
Amelanchier laevis,c3
Amelanchier lamarckii,c3
Ammophila arenaria,c3
Amoria glomerata,c3
Amoria hybrida,c3
Amoria repens,c3
Amoria suffocata,c3
Amsinckia lycopsoides,c3
Anacamptis morio,c3
Anacamptis pyramidalis,c3
Anagallis arvensis,c3
Anagallis minima,c3
Anagallis tenella,c3
Anchusa arvensis,c3
Anchusa sempervirens,c3
Andromeda polifolia,c3
Anemone nemorosa,c3
Anemone pulsatilla,c3
Angelica archangelica,c3
Angelica sylvestris,c3
Anisantha diandra,c3
Anisantha gussonei,c3
Anisantha sterilis,c3
Anisantha tectorum,c3
Antennaria dioica,c3
Anthemis arvensis,c3
Anthemis cotula,c3
Anthoxanthum alpinum,c3
Anthoxanthum odoratum,c3
Anthriscus caucalis,c3
Anthriscus sylvestris,c3
Anthriscus vulgaris,c3
Anthyllis vulneraria,c3
Antirrhinum majus,c3
Antirrhinum orontium,c3
Apera interrupta,c3
Apera spica-venti,c3
Aphanes arvensis,c3
Aphanes inexspectata,c3
Aphanes microcarpa,c3
Apium graveolens,c3
Apium inundatum,c3
Apium nodiflorum,c3
Apium repens,c3
Aquilegia vulgaris,c3
Arabidopsis lyrata subsp. petraea,c3
Arabidopsis thaliana,c3
Arabis alpina,c3
Arabis alpina subsp. caucasica,c3
Arabis brownii,c3
Arabis caucasica,c3
Arabis glabra,c3
Arabis hirsuta,c3
Arabis petraea,c3
Arabis scabra,c3
Arabis stricta,c3
Aracium paludosum,c3
Arbutus unedo,c3
Arctium lappa,c3
Arctium minus,c3
Arctium nemorosum,c3
Arctium pubens,c3
Arctostaphylos alpinus,c3
Arctostaphylos uva-ursi,c3
Arctous alpinus,c3
Aremonia agrimonioides,c3
Arenaria ciliata,c3
Arenaria norvegica,c3
Arenaria serpyllifolia,c3
Aristolochia clematitis,c3
Armeria maritima,c3
Armoracia rusticana,c3
Arnoseris minima,c3
Arrhenatherum elatius,c3
Artemisia absinthium,c3
Artemisia campestris,c3
Artemisia maritima,c3
Artemisia norvegica,c3
Artemisia verlotiorum,c3
Artemisia vulgaris,c3
Arthrocnemon perenne,c3
Arum italicum,c3
Arum maculatum,c3
Arundinaria anceps,c3
Arundinaria japonica,c3
Arundinaria jaunsarensis,c3
Arundinaria quadrangularis,c3
Asparagus officinalis,c3
Asparagus officinalis subsp. officinalis,c3
Asperula cynanchica,c3
Asperula occidentalis,c3
Asperula odorata,c3
Aster linosyris,c3
Aster longifolius,c3
Aster novae-angliae,c3
Aster novi-belgii,c3
Astragalus alpinus,c3
Astragalus danicus,c3
Astragalus glycyphyllos,c3
Atriplex glabriuscula,c3
Atriplex hastata,c3
Atriplex littoralis,c3
Atriplex longipes,c3
Atriplex patula,c3
Atriplex pedunculata,c3
Atriplex portulacoides,c3
Atriplex praecox,c3
Atriplex prostrata,c3
Atropa belladonna,c3
Avena fatua,c3
Avena ludoviciana,c3
