species,ad_density,ab_density
Acer campestre,0.5,270
Acer pseudoplatanus,0,400
Alnus glutinosa,0,108
Betula alba,0,184
Betula pubescens,0,147
Carpinus betulus ,0.5,160
Fagus sylvatica ,0,236
Fraxinus excelsior,0,176
Ilex aquifolium,0,180
Populus alba ,0,315
Populus nigra,20,115
Populus tremula ,0,330
Prunus avium,0,282
Pyrus communis,0,91
Pyrus malus ,0,275
Pyrus torminalis,0,110
Quercus robur ,0,450
Quercus sessiliflora,0,400
Sorbus aria ,0,225
Sorbus aucuparia ,0,224
Taxus baccata ,0,151
Tilia parvifolia ,0,214
Tilia platyphyllos ,0,119
Tilia vulgaris ,0,130
Ulmus montana,0,218
Castanea vulgaris ,0,330
Berberis vulgaris ,0,400
Buxus sempervirens,0,160
Clematis vitalba ,0,115
Cornus sanguinea ,0,246
Corylus avellana ,0,225
Crataegus monogyna,0,154
Crataegus oxyacanthoides,0,147
Cytisus scoparius,90,0
Daphne laureola ,0,94
Daphne mezereum,0,99
Euonymus europaeus,0.5,254
Hedera helix ,0,125
Hypericum androsaemum,0,200
Ligustrum vulgare ,0,300
Lonicera periclymenum,0,130
Prunus cerasus,0,216
Prunus spinosa ,0,375
Rhamnus cathartica,0,167
Rhamnus frangula ,0,477
Ribes grossularia ,0,195
Ribes nigrum ,0,144
Rosa canina ,0,89
Rubus corylifolius ,0,292
Salix caprea,0,400
Sambucus nigra ,0,90
Solanum dulcamara ,0,156
Vaccinium myrtillus ,18,120
Viburnum lantana ,0,136
Viburnum opulus ,0,79
Actaea spicata ,0,45
Adoxa moschatellina ,0,33
Ajuga reptans ,17,147
Allium ursinum ,0,60
Anemone nemorosa,0,42
Arum maculatum ,45,76
Asperula odorata ,0,119
Cephalanthera pallens,0,48
Circaea alpina ,0,56
Circaea lutetiana ,0,154
Conopodium denudatum ,0,130
Convallaria majalis ,60,47
Dentaria bulbifera ,0,104
Epipactis latifolia ,0,41
Ficaria verna ,21,75
Helleborus foetidus,0,65
Helleborus viridis ,0,41
Iris foetidissima,0,78
Lamium galeobdolon ,0,175
Linnaea borealis ,0,200
Listera ovata ,0,29
Luzula maxima ,0,129
Mercurialis perennis ,6,82
Narcissus pseudonarcissus ,65,68
Orchis mascula ,0,45
Oxalis acetosella ,0,56
Paris quadrifolia ,0,20
