species,ab_density,ad_density
Acer pseudoplatanus,400,0
Achillea millefolium,16,103
Achillea ptarmica,125,130
Aconitum napellus,71,0
Actaea spicata,45,0
Adoxa moschatellina,45,0
Aegopodium podagraria,266,0
Agrimonia eupatoria,200,1
Agrostemma githago,40,40
Agrostis stolonifera,56,80
Ajuga reptans,147,17
Alisma plantago-aquatica,36,50
Alliaria petiolata,138,4
Allium ursinum,60,0
Alnus glutinosa,108,0
Anemone nemorosa,42,0
Angelica sylvestris,90,0
Anisantha sterilis,15,36
Anthemis arvensis,45,85
Anthemis cotula,45,80
Anthriscus sylvestris,160,0.5
Anthyllis vulneraria,105,155
Aquilegia vulgaris,69,0
Arrhenatherum elatius,13,61
Arum maculatum,76,45
Aster tripolium,88,94
Astragalus glycyphyllos,108,0
Atropa belladonna,227,56
Baldellia ranunculoides,17,39
Ballota nigra,274,0
Barbarea vulgaris,378,250
Bartsia alpina,56,33
Bellis perennis,94,74
Berberis vulgaris,400,0
Betula nana,77.5,0
Betula pubescens,147,0
Blackstonia perfoliata,48,15
Brassica oleracea,226,141
Brassica rapa,283,118
Bromopsis ramosa,2,42
Bryonia dioica,194,0
Buxus sempervirens,160,0
Calluna vulgaris,1200,0
Caltha palustris,40,0
Calystegia sepium,93,3
Campanula latifolia,235,0
Campanula rotundifolia,117,45
Campanula trachelium,198,0
Capsella bursa-pastoris,208,191
Cardamine pratensis,97,63
Carex arenaria,120,0
Carex divulsa,0,135
Carex muricata,0,100
Carex spicata,0,150
Carex sylvatica,132,0
Carpinus betulus,160,0.5
Centaurea nigra,94,55
Centaurea scabiosa,130,185
Cerastium alpinum,28,60
Cerastium cerastoides,87,120
Chaerophyllum temulum,150,0
Chamerion angustifolium,250,8
Chenopodium bonus-henricus,100,67
Chenopodium ficifolium,63,39
Chenopodium rubrum,155,87
Circaea alpina,56,0
Cirsium acaule,192,52
Cirsium eriophorum,216,63
Cirsium palustre,128,3
Cirsium vulgare,85,45
Clematis vitalba,115,0
Coincya wrightii,480,233
Colchicum autumnale,47,41
Convallaria majalis,47,60
Convolvulus arvensis,79,50
Cornus sanguinea,246,0
Cornus suecica,89,0
Corrigiola litoralis,60,70
Corylus avellana,225,0
Crataegus monogyna,154,0
Crepis capillaris,150,103
Crepis paludosa,112,3
Cynoglossum officinale,353,109
Cytisus scoparius,0,90
Daphne laureola,94,0
Daphne mezereum,99,0
Datura stramonium,189,114
Daucus carota,225,39
Deschampsia cespitosa,0,117
Digitalis purpurea,110,6
Dipsacus fullonum,93,9
Dipsacus pilosus,175,26
Drosera rotundifolia,36.3,36.3
Elytrigia repens,73,84
Epilobium alsinifolium,184,153
Epilobium anagallidifolium,120,189
Epilobium montanum,185,16
Epilobium palustre,240,89
Epilobium tetragonum,200,145
Erica ciliaris,164,0
Eryngium maritimum,59,67
Euonymus europaeus,254,0.5
Euphorbia amygdaloides,104,0
Euphrasia confusa,159,112
Fagus sylvatica,236,0
Fallopia convolvulus,138,19
Fallopia japonica,76,0
Festuca altissima,0,200
Festuca arundinacea,33,61
Festuca gigantea,3.5,36
Festuca longifolia,0,240
Festuca pratensis,26.3,84
Fragaria vesca,223,0
Fraxinus excelsior,176,0
Gagea lutea,27,27
Galanthus nivalis,55,30
Galeopsis tetrahit,140,15
Galium mollugo,200,10
Gentiana verna,70,50
Gentianella amarella,127,32
Geranium dissectum,318,0
Geranium phaeum,130,0
Geranium purpureum,107.4,0
Geranium pyrenaicum,146,51
Geranium robertianum,190,0
