"submittedname","acceptedname","sourceid","score","matchedname","authority","uri"
"Acer campestre","Acer campestre","iPlant_TNRS","1","Acer campestre","L.","http://www.tropicos.org/Name/200021"
"Acer pseudoplatanus","Acer pseudoplatanus","iPlant_TNRS","1","Acer pseudoplatanus","L.","http://www.tropicos.org/Name/200008"
"Alnus glutinosa","Alnus glutinosa","iPlant_TNRS","1","Alnus glutinosa","(L.) Gaertn.","http://www.tropicos.org/Name/3600001"
"Betula alba","","iPlant_TNRS","1","Betula alba","",""
"Betula pubescens","","iPlant_TNRS","1","Betula pubescens","",""
"Carpinus betulus","Carpinus betulus","iPlant_TNRS","1","Carpinus betulus","L.","http://www.tropicos.org/Name/3600034"
"Fagus sylvatica","","iPlant_TNRS","1","Fagus sylvatica","",""
"Fraxinus excelsior","Fraxinus excelsior","iPlant_TNRS","1","Fraxinus excelsior","L.","http://www.tropicos.org/Name/23000019"
"Ilex aquifolium","Ilex aquifolium","iPlant_TNRS","1","Ilex aquifolium","L.","http://www.tropicos.org/Name/2000383"
"Populus alba","Populus alba","iPlant_TNRS","1","Populus alba","L.","http://www.tropicos.org/Name/28300002"
"Populus nigra","Populus nigra","iPlant_TNRS","1","Populus nigra","L.","http://www.tropicos.org/Name/28300007"
"Populus tremula","Populus tremula","iPlant_TNRS","1","Populus tremula","L.","http://www.tropicos.org/Name/28300009"
"Prunus avium","Cerasus avium","iPlant_TNRS","1","Prunus avium","(L.) Moench","http://www.tropicos.org/Name/27804159"
"Pyrus communis","Pyrus communis","iPlant_TNRS","1","Pyrus communis","L.","http://www.tropicos.org/Name/27800339"
"Pyrus malus","Malus pumila","iPlant_TNRS","1","Pyrus malus","Mill.","http://www.tropicos.org/Name/27800985"
"Pyrus torminalis","Torminaria torminalis","iPlant_TNRS","1","Pyrus torminalis","(L.) Dippel","http://www.tropicos.org/Name/50306188"
"Quercus robur","Quercus robur","iPlant_TNRS","1","Quercus robur","(Ten.) A. DC.","http://www.tropicos.org/Name/50280607"
"Quercus sessiliflora","Quercus robur subsp. sessiliflora","iPlant_TNRS","1","Quercus sessiliflora","(Salisb.) A. DC.","http://www.tropicos.org/Name/50279767"
"Sorbus aria","Sorbus aria","iPlant_TNRS","1","Sorbus aria","(L.) Crantz","http://www.tropicos.org/Name/27803804"
"Sorbus aucuparia","Sorbus aucuparia","iPlant_TNRS","1","Sorbus aucuparia","L.","http://www.tropicos.org/Name/27800192"
