AccSpeciesID,AccSpeciesName,Measurements
2,Abarema adenophora,5
73137,Abarema cochleata,1
73138,Abarema floribunda,1
6,Abarema jupunba,9
7,Abarema laeta,2
8,Abarema macradenia,3
9,Abarema mataybifolia,3
73139,Abarema microcalyx,1
10,Abarema piresii,1
14,Abelia biflora,1
28,Abelmoschus moschatus,1
29,Abies alba,20
32,Abies balsamea,1
39,Abies concolor,26
50,Abies grandis,1
56,Abies lasiocarpa,19
72,Abies sp,1
78,Abronia fragrans,4
86,Abrus precatorius,11
88,Abrus sp,3
89,Abuta grandifolia,6
91,Abuta imene,1
93,Abuta panamensis,4
94,Abuta racemosa,8
95,Abuta rufescens,1
103,Abutilon cryptopetalum,1
107,Abutilon fraseri,2
115,Abutilon incanum,10
126,Abutilon otocarpum,2
137,Abutilon sp,6
139,Abutilon theophrasti,10
169,Acacia aneura,12
180,Acacia ataxacantha,7
182,Acacia aulacocarpa,2
183,Acacia auriculaeformis,1
185,Acacia auriculiformis,1
193,Acacia berlandieri,6
205,Acacia borleae,6
208,Acacia brachybotrya,1
209,Acacia brachystachya,4
213,Acacia brownii,1
218,Acacia burkittii,1
220,Acacia caesia,6
225,Acacia cambagei,1
226,Acacia cana,1
230,Acacia caven,1
236,Acacia cheelii,1
240,Acacia cincinnata,1
243,Acacia clivicola,1
248,Acacia colletioides,4
257,Acacia constricta,10
260,Acacia coriacea,1
267,Acacia crassicarpa,1
269,Acacia cultriformis,1
270,Acacia cunninghamii,1
277,Acacia davyi,6
279,Acacia dealbata,3
280,Acacia deanei,1
281,Acacia decora,4
294,Acacia doratoxylon,4
297,Acacia dudgeoni,9
65120,Acacia erythrocalyx,1
313,Acacia excelsa,1
318,Acacia farnesiana,6
319,Acacia fasciculata,1
320,Acacia fasciculifera,1
329,Acacia floribunda,2
332,Acacia gageana,4
339,Acacia gerrardii,6
346,Acacia glomerosa,2
351,Acacia gourmaensis,9
353,Acacia grandicornuta,6
356,Acacia greggii,18
360,Acacia hakeoides,2
364,Acacia havilandiorum,1
365,Acacia hayesii,5
376,Acacia homalophylla,2
387,Acacia irrorata,2
395,Acacia karroo,7
425,Acacia ligulata,2
428,Acacia lineata,1
434,Acacia longifolia,9
436,Acacia longissima,2
437,Acacia loretensis,2
439,Acacia luederitzii,6
450,Acacia macrophylla,1
451,Acacia macrostachya,4
